abstract        抽象类或方法
assert          用来查找内部程序错误
boolean         布尔类型
break           跳出一个选择语句或循环
byte            8位整数类型
case            switch 的一个分支
catch           捕获异常的 try 块子句
char            Unicode 字符类型
class           定义一个类类型
const           未使用
continue        在循环末尾继续
default         switch 的默认子句，或者接口的默认方法
do              do/while 循环最前面的子句
double          双精度浮点数类型
else            if 语句的 else 子句
enum            枚举类型
exports         导出一个模块的包（受限）
extends         定义一个类的父类，或者一个通配符的上界
final           一个常量，或一个不能被覆盖的类或方法
finally         try 块中总会执行的部分
float           单精度浮点数类型
for             一种循环类型
goto            未使用
if              一个条件语句
implements      定义一个类实现的接口
import          导入一个包
instanceof      测试一个对象是否为一个类的实例
int             32位整数类型
interface       一种抽象类型，其中包含可以由类实现的方法
long            64位长整数类型
native          由宿主系统实现的一个方法
new             分配一个新对象或数组
null            一个空引用（null 从技术上讲是一个字面量，而非关键字）
module          声明一个模块（受限）
open            修改一个 module 声明（受限）
opens           打开一个模块的包（受限）
package         包含类的一个包
private         这个特性只能由该类的方法访问
protected       这个特性只能由该类、其子类以及同一个包中的其他类的方法访问
provides        只是一个模块使用一个服务（受限）
public          这个特性可以由所有类的方法访问
return          从一个方法返回
short           16位整数类型
static          这个特性是类或接口特有的，而不属于类的实例
strictfp        对浮点数计算使用严格的规则
super           超类对象或构造器，或一个通配符的下界
switch          一个选择语句
synchronized    对线程而言是原子的方法或代码块
this            当前类的一个方法或构造器的隐含参数
throw           抛出一个异常
to              exports 或 opens 声明的一部分（受限）
throws          一个方法可能抛出的异常
transient       标记非永久的数据
transitive      修饰一个 requires 声明（受限）
try             捕获异常的代码块
uses            指示一个模块使用一个服务（受限）
var             声明一个变量的类型是推导得出的（受限）
void            指示一个方法不返回任何值
volatile        确保一个字段可以由多个线程访问
with            在一个 provides 语句中定义服务类（受限）
while           一种循环
